course_name,price,duration,description
GIS Technical Architect,49,4,Beautiful wall calendar for organizing your schedule.
Project Manager,623,4,Qi-certified wireless charger for fast charging.
Senior Quality Engineer,608,1.5,Set of reusable baking cups for muffins and cupcakes.
Marketing Manager,80,4,Challenging puzzle game set for family entertainment.
Editor,437,5,Automatic waterer that filters and provides fresh drinking water for pets.
Senior Developer,855,3,Moist and flavorful muffins packed with fall spices and pumpkin puree.
Staff Scientist,410,1.5,Stylish wall art to enhance home decor.
Community Outreach Specialist,395,3,"Roasted pistachios, a healthy and tasty snack."
Information Systems Manager,26,3,Track your meals and nutrition with this handy food journal.
Environmental Specialist,900,3,Durable gloves with built-in claws for digging and planting.
Compensation Analyst,705,3,"Quick-cooking couscous, great as a side or base."
Sales Associate,354,4,Plant-based mayonnaise for a creamy taste.
Structural Engineer,16,4,Chic wrap jumpsuit that flatters the body and is perfect for any occasion.
Administrative Officer,599,4,USB hub for expanding ports on computers and laptops.
Recruiter,456,3,Spicy cauliflower bites for a vegetarian snack.
Budget/Accounting Analyst II,117,5,Rich almond butter encased in dark chocolate.
Associate Professor,918,4,"Fine semolina flour, perfect for pasta and desserts."
Mechanical Systems Engineer,604,3,Cold pasta salad tossed with pesto and fresh vegetables.
Financial Advisor,947,12,Easy meal kit for creamy fettuccine Alfredo.
Assistant Media Planner,296,3,Versatile organic coconut oil for cooking and baking.
Automation Specialist III,893,3,"Savory pancakes made with chickpea flour, high in protein."
Librarian,916,3,Compact sewing kit for travel emergencies.
Staff Accountant II,627,3,Single-serve coffee maker with a built-in grinder.
Administrative Officer,957,11,A perfect blend of pineapple and teriyaki for stir-fry.
Tax Accountant,974,1.5,Spicy and tangy chili sauce for adding heat to any dish.
Help Desk Operator,859,3,Colorful bins to keep your space organized.
Payment Adjustment Coordinator,423,12,"Sweet and savory carrots glazed in honey, perfect as a side dish."
Information Systems Manager,773,4,Device that tracks soil moisture and provides care tips.
Programmer Analyst III,779,3,Oversized gaming mousepad with smooth surface.
Electrical Engineer,168,1.5,Pancake mix infused with seasonal pumpkin spice flavor.
Dental Hygienist,886,13,Set of resistance bands for home workouts.
Librarian,542,3,A fragrant Indian spice blend for curries and stews.
Operator,107,3,"Crunchy pretzels coated in rich chocolate, a sweet treat."
Senior Cost Accountant,278,5,Essential ingredient for baking and cooking.
Health Coach II,876,3,Flexible light strips for creative home decor.
Environmental Tech,93,3,Space-saving shoe organizer for tight spaces.
Civil Engineer,329,3,Magical lens kit for kids to explore the outdoors.
Administrative Officer,859,3,"Unsweetened apple sauce, great for snacks or baking."
VP Accounting,621,3,Planter with self-watering feature for easy plant care.
Junior Executive,389,3,Fresh eggs from free-range chickens.
Electrical Engineer,524,1.5,A casual striped long sleeve shirt that's perfect for layering.
Speech Pathologist,940,3,Video baby monitor with night vision.
Research Assistant III,898,1.5,64GB SD memory card for cameras and devices.
Financial Advisor,451,3,Bright flashlight with rechargeable batteries included.
Account Representative IV,697,14,Pure maple syrup for pancakes and more.
Editor,778,3,Fast and accurate thermometer for grilling and cooking.
Web Developer IV,366,12,"A hearty soup made with lentils, a variety of vegetables, and spices, ideal for a nutritious meal."
Occupational Therapist,385,1.5,Small fridge designed to keep skincare products cool and fresh.
Chemical Engineer,469,3,Eco-friendly trash bags that break down naturally.
VP Product Management,593,3,Compact alarm for personal safety and security.
Media Manager II,164,1.5,Dairy-free yogurt made from coconut milk.
Environmental Tech,77,1.5,High-resolution camera for stunning photos.
VP Product Management,997,3,"A hearty salad with grains, dried fruits, and nuts."
Community Outreach Specialist,600,3,Energy-efficient infrared heater for home use.
Product Engineer,217,3,Rechargeable hand warmer for cold weather comfort.
Tax Accountant,619,3,Eco-friendly phone case designed to decompose safely.
Internal Auditor,149,1.5,Stylish and modern holder for storing wine bottles on walls.
Media Manager IV,50,3,Adjustable window blinds for privacy and light control.
Project Manager,795,5,"Light and crispy chips made from quinoa, ideal for dipping."
Analog Circuit Design manager,432,3,"Creamy hummus with a kick of spice, great for dipping."
Operator,359,3,Craft your own lip balms with this complete kit.
Geological Engineer,231,12,"Creamy and smooth peanut butter, perfect for sandwiches."
Chemical Engineer,54,4.5,Delicious cookies flavored with pumpkin and spices.
Editor,807,3,Creamy mashed potatoes infused with roasted garlic flavor.
VP Marketing,970,3,Colorful bins to keep your space organized.
Geological Engineer,680,1.5,Passive noise reduction headphones for focus.
Marketing Assistant,185,4,Insulated pitcher to keep beverages cold or hot.
Budget/Accounting Analyst III,999,3,Cozy throw blanket perfect for chilly evenings.
Executive Secretary,275,3,Fast and accurate thermometer for grilling and cooking.
Senior Developer,115,3,Electric foot massager with heat settings.
General Manager,389,1.5,Refreshing sparkling water infused with cranberry and lime flavors.
Nurse,728,4,Spicy cauliflower bites for a vegetarian snack.
Human Resources Assistant I,452,4,"Crispy sweet potato bites, delicious as a side or snack."
Marketing Assistant,354,4,Stability ball for Pilates and yoga workouts.
Human Resources Assistant II,345,9.5,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish."
Legal Assistant,955,5,Complete set of cooking utensils made from bamboo.
Administrative Assistant II,598,5,"Juicy meatballs made with a blend of beef and pork, seasoned with Italian herbs."
Account Executive,22,5,Comfortable slide sandals for lounging by the pool.
Computer Systems Analyst I,658,3,Cordless electric screwdriver for home projects.
Data Coordinator,671,3,Cold pasta salad tossed with pesto and fresh vegetables.
Account Executive,598,3,Multi-level cat tree for climbing and scratching.
Quality Control Specialist,16,1.5,"Crispy baked radish chips, a healthy snack alternative."
Internal Auditor,412,4,Citrusy lemons perfect for drinks and cooking.
Internal Auditor,152,13,Ready-to-drink shots made with fresh ginger and turmeric.
Librarian,754,3,Comfortable wireless headphones designed for sleeping.
Web Developer III,200,3,Compact action camera for capturing adventures.
Help Desk Technician,968,3,"Concentrated tomato paste, great for sauces."
Administrative Assistant IV,770,3,A light and breezy top ideal for warm days.
Senior Financial Analyst,385,3,Easy meal kit for creamy fettuccine Alfredo.
Research Associate,973,3,"Lightweight cover-up perfect for the beach, with a breezy design."
Staff Scientist,399,3,Chewy bars made with peanut butter and chocolate chips.
Analyst Programmer,806,3,Soft oatmeal cookies with maple and pecans.
Director of Sales,757,12,DIY projector that magnifies your smartphone screen for movie nights.
Sales Representative,223,3,Soft corner protectors to keep babies safe at home.
Senior Sales Associate,402,3,Elegant glass decanter for aerating wine.
Accounting Assistant IV,88,20,Digital scale to avoid overweight baggage fees.
Associate Professor,998,3,Compact Bluetooth speaker with rich sound quality.
Community Outreach Specialist,946,4,Small toolkit with essentials for home repairs.
Sales Associate,973,3,"Creamy and smooth peanut butter, perfect for sandwiches."
Occupational Therapist,401,1.5,Fun inflatable float for lounging in the pool or beach.
Data Coordinator,811,1.5,Cozy throw blanket perfect for adding warmth to your home.
Engineer II,636,3,Essential kit for taking care of your pets' health emergencies.
Junior Executive,960,3,Nutritious and quick-cooking red lentils.
Safety Technician I,363,4,Elegant glass teapot for brewing loose tea.
Mechanical Systems Engineer,244,4,Scented bath salts for relaxation and self-care.
Database Administrator I,345,12,Beginner-friendly drone with HD camera.
Marketing Manager,594,11,Safety vest for pets during nighttime walks.
Recruiting Manager,247,10,"Instant oats with a savory twist, such as herbs and spices."
Paralegal,411,1.5,A flavorful blend of rice with tropical pineapple and coconut flavors.
Programmer Analyst I,261,3,"Pre-seasoned beef mix for delicious tacos, just heat and serve."
Desktop Support Technician,227,5,Compact electric pot for hot pot dining at home.
Budget/Accounting Analyst II,893,3,Premium olive oil infused with herbs for enhanced flavor.
Engineer I,944,3,"Refreshing green tea infused with peach, perfect for a hot day."
Engineer II,631,3,Crispy roasted chickpeas seasoned to perfection
Payment Adjustment Coordinator,58,3,"Smooth soup made from carrots and ginger, great for cold days."
GIS Technical Architect,727,3,Illuminated vanity mirror with adjustable brightness settings.
Graphic Designer,479,4,"Lean and versatile ground turkey, perfect for various dishes."
Desktop Support Technician,297,3,Comfortable and warm leggings perfect for colder weather.
Actuary,662,1.5,Creamy macaroni and cheese baked to perfection.
Budget/Accounting Analyst I,494,3,Bright flashlight with rechargeable batteries included.
Nurse Practicioner,833,3,RFID-blocking slim wallet for cards and cash.
Structural Engineer,261,3,"Creamy yogurt with probiotics, available in various flavors."
Chemical Engineer,844,6,Safe and vibrant crayons for children's art projects.
Environmental Specialist,775,4,"Gluten-free almond flour, perfect for baking."
Editor,24,3,Savory lentil chips with BBQ flavor
Community Outreach Specialist,327,3,"A rich marinade perfect for meats and vegetables, infused with Italian herbs and balsamic vinegar."
Financial Advisor,429,4,Juicy and tender boneless chicken breasts.
Librarian,953,5,"Pre-cooked vegetable fried rice, just heat and serve."
Senior Sales Associate,539,1.5,A trendy oversized denim shirt perfect for layering.
Civil Engineer,882,3,Absorbent training pads for puppies and kittens.
Accounting Assistant I,951,3,"A flavorful garlic butter blend, perfect for cooking or baking."
Executive Secretary,546,4,Clip-on guitar tuner with LCD display.
Staff Accountant I,549,3,Organize your board games with this storage bin.
Recruiter,723,14,Lantern that repels mosquitoes while providing light.
Operator,848,4.5,Protects car interior from sun damage and heat.
Nurse Practicioner,516,4,Add a smoky flavor to your dishes.
Quality Control Specialist,720,16,Durable baking sheet coated for easy food release.
Assistant Manager,558,3,Crispy roasted chickpeas seasoned to perfection
Speech Pathologist,822,3,Creamy honey mustard sauce for dipping or dressing.
General Manager,335,6,Folding massage table for professional or home use.
Internal Auditor,906,3,Blender for smoothies with a portable cup.
Biostatistician II,308,4,"Coffee blend infused with pumpkin spice, perfect for fall."
Accounting Assistant III,384,5,Challenging 1000-piece jigsaw puzzle for all ages.
Legal Assistant,21,3,Eco-friendly phone case designed to decompose safely.
Librarian,606,3,Eco-friendly charger that uses solar energy for powering devices.
Software Engineer III,136,3,"Creamy, dairy-free Alfredo sauce"
Office Assistant III,822,13,Whole grain oats that are perfect for breakfast or baking.
Marketing Assistant,180,4,"Trendy high-low tee with a relaxed fit, ideal for weekends."
Engineer II,946,3,Ergonomic office chair with lumbar support and adjustable height.
Geologist IV,488,4,Perfect dipping sauce or stir-fry addition for a sweet and tangy flavor.
Sales Associate,579,3,"Creamy, sweet pie mix to make the perfect coconut cream pie."
Financial Analyst,570,3,Unsweetened frozen acai purée for smoothies and bowls.
Financial Advisor,955,3,"Frozen salmon fillets marinated in teriyaki sauce, ready to grill or bake."
Mechanical Systems Engineer,634,3,Durable backpack designed for hiking and outdoor excursions.
GIS Technical Architect,848,3,"Sweet and spiced apple filling, perfect for pies."
Office Assistant III,330,3,"A healthy oil extracted from avocados, ideal for frying and salads."
VP Quality Control,935,3,1080p HD video camera with night vision.
Structural Analysis Engineer,728,12,Compact projector for movies and presentations on the go.
Operator,417,3,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks."
Office Assistant IV,282,3,Creamy tahini made from ground sesame seeds.
Dental Hygienist,922,4,"Crunchy granola with oats, nuts, and honey."
Marketing Assistant,724,14,Wi-Fi enabled plug for controlling devices from your smartphone.
Statistician I,186,4,Convenient water bottle for pets on the go.
Web Designer III,627,3,"Creamy cottage cheese, perfect for healthy snacking."
Nurse,50,4,Crunchy pretzel bites filled with peanut butter
Staff Scientist,908,5,"A zesty marinade made with lemon juice and garlic, ideal for chicken or fish."
Librarian,820,5,Control your lights remotely with a smartphone app.
VP Accounting,822,3,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches."
Project Manager,418,5,"Creamy dip made with real onions and spices, great for chips and veggies."
Engineer I,226,1.5,"Rich and tangy balsamic vinegar, perfect for dressings."
Legal Assistant,42,3,Durable toy designed for heavy chewers.
Community Outreach Specialist,134,3,HD streaming device for accessing popular services.
Health Coach III,933,3,"Chickpeas served with olives, feta, and hummus, a healthy meal."
Sales Representative,459,4,Healthy pizza crust made from cauliflower
Accountant IV,1000,1.5,Floating bookshelf to display your favorite books.
Teacher,691,3,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks."
Business Systems Development Analyst,733,3,Warmer for heating baby bottles and food jars.
Chief Design Engineer,772,1.5,Stability ball for Pilates and yoga workouts.
Health Coach II,373,3,Comfortable harness designed to keep pets safe in the car.
Occupational Therapist,904,3,Creamy peach-flavored yogurt with real fruit.
Legal Assistant,529,1.5,Shower head designed for a strong spray and complete coverage.
Registered Nurse,792,1.5,A blend of herbs and garlic for seasoning meats and vegetables.
Assistant Media Planner,968,3,No-bake energy bites made with peanut butter and oats.
Product Engineer,615,3,Eco-friendly charger that uses solar energy for powering devices.
Budget/Accounting Analyst I,307,3,Add a smoky flavor to your dishes.
Analyst Programmer,87,3,A rich sauce perfect for pasta or drizzling over vegetables.
Analog Circuit Design manager,95,3,"Creamy yogurt with probiotics, available in various flavors."
Research Assistant IV,865,5,Set of whisks in various sizes for cooking.
Automation Specialist II,633,1.5,"Sweet and tart dried cranberries, great for salads and baking."
Actuary,632,4,Multi-functional grater for cheese and vegetables.
